# 2026-09-18 07:17:38  anchor_train.py --out runs/C_pf_far_ep250 --row 1.0 --n-move 5 --epoch-len 1150 --epochs 250 --eval-every 10 --tta 8 --seed 1 --pf-channels 2 --far-anchor 0.6
grid: 256 rows x 336 cols (row 1.0 ft, colw 32.0 ft), state grid 64 bins of 4.0 ft, stem_stride 1, arch effnet, GR prefilter 0 ft
wells: 773 total -> 618 train / 155 holdout (first holdout d07aed8f)
wells: cache hit C:\Users\sudha\OneDrive\Documents\GitHub\Erudition\kaggle2ndplace\cache\wells__773_cf8a82a2.npz
scored rows in holdout: 754,122
model: GR2TVTAnchorNet 3.74M params, n_move=5, dzl_head=True, pretrained=True
schedule: 250 epochs x 95 steps (batch 6 x accum 2), lr 0.001, warmup 200
epoch 113/250  loss 0.5762  ce 0.2902  huber 0.0235  dzl 0.2625  oov 0.00015  lr 1.00e-03  29s
epoch 114/250  loss 0.5815  ce 0.2926  huber 0.0235  dzl 0.2653  oov 0.00012  lr 1.00e-03  28s
epoch 115/250  loss 0.5735  ce 0.2865  huber 0.0236  dzl 0.2634  oov 0.00010  lr 1.00e-03  29s
epoch 116/250  loss 0.5814  ce 0.2938  huber 0.0241  dzl 0.2636  oov 0.00007  lr 1.00e-03  29s
epoch 117/250  loss 0.5655  ce 0.2863  huber 0.0231  dzl 0.2560  oov 0.00008  lr 1.00e-03  29s
epoch 118/250  loss 0.5756  ce 0.2915  huber 0.0235  dzl 0.2606  oov 0.00013  lr 1.00e-03  28s
epoch 119/250  loss 0.5678  ce 0.2867  huber 0.0237  dzl 0.2574  oov 0.00010  lr 1.00e-03  29s  | holdout pooled RMSE 7.2613 ft
epoch 120/250  loss 0.5629  ce 0.2855  huber 0.0234  dzl 0.2540  oov 0.00012  lr 1.00e-03  28s
epoch 121/250  loss 0.5688  ce 0.2871  huber 0.0235  dzl 0.2582  oov 0.00010  lr 1.00e-03  29s
epoch 122/250  loss 0.5692  ce 0.2883  huber 0.0227  dzl 0.2583  oov 0.00008  lr 1.00e-03  29s
epoch 123/250  loss 0.5640  ce 0.2842  huber 0.0227  dzl 0.2572  oov 0.00007  lr 1.00e-03  29s
epoch 124/250  loss 0.5635  ce 0.2850  huber 0.0230  dzl 0.2556  oov 0.00010  lr 1.00e-03  29s
epoch 125/250  loss 0.5608  ce 0.2826  huber 0.0231  dzl 0.2552  oov 0.00011  lr 1.00e-03  29s
epoch 126/250  loss 0.5644  ce 0.2835  huber 0.0227  dzl 0.2582  oov 0.00011  lr 1.00e-03  29s
epoch 127/250  loss 0.5523  ce 0.2787  huber 0.0223  dzl 0.2513  oov 0.00010  lr 1.00e-03  28s
epoch 128/250  loss 0.5584  ce 0.2807  huber 0.0228  dzl 0.2549  oov 0.00013  lr 1.00e-03  29s
epoch 129/250  loss 0.5640  ce 0.2852  huber 0.0229  dzl 0.2559  oov 0.00010  lr 1.00e-03  29s  | holdout pooled RMSE 7.3564 ft
epoch 130/250  loss 0.5561  ce 0.2804  huber 0.0224  dzl 0.2533  oov 0.00009  lr 1.00e-03  28s
epoch 131/250  loss 0.5601  ce 0.2828  huber 0.0225  dzl 0.2547  oov 0.00006  lr 1.00e-03  29s
epoch 132/250  loss 0.5549  ce 0.2806  huber 0.0226  dzl 0.2518  oov 0.00012  lr 1.00e-03  29s
epoch 133/250  loss 0.5575  ce 0.2806  huber 0.0222  dzl 0.2548  oov 0.00008  lr 1.00e-03  28s
epoch 134/250  loss 0.5577  ce 0.2823  huber 0.0223  dzl 0.2532  oov 0.00008  lr 1.00e-03  29s
epoch 135/250  loss 0.5546  ce 0.2816  huber 0.0227  dzl 0.2503  oov 0.00011  lr 1.00e-03  29s
epoch 136/250  loss 0.5563  ce 0.2812  huber 0.0225  dzl 0.2526  oov 0.00010  lr 1.00e-03  29s
epoch 137/250  loss 0.5619  ce 0.2839  huber 0.0225  dzl 0.2554  oov 0.00008  lr 1.00e-03  29s
epoch 138/250  loss 0.5586  ce 0.2830  huber 0.0220  dzl 0.2536  oov 0.00011  lr 1.00e-03  29s
epoch 139/250  loss 0.5515  ce 0.2786  huber 0.0222  dzl 0.2508  oov 0.00010  lr 1.00e-03  29s  | holdout pooled RMSE 7.4379 ft
epoch 140/250  loss 0.5527  ce 0.2785  huber 0.0221  dzl 0.2521  oov 0.00009  lr 1.00e-03  29s
epoch 141/250  loss 0.5491  ce 0.2776  huber 0.0222  dzl 0.2494  oov 0.00006  lr 1.00e-03  29s
epoch 142/250  loss 0.5528  ce 0.2811  huber 0.0221  dzl 0.2496  oov 0.00009  lr 1.00e-03  29s
epoch 143/250  loss 0.5510  ce 0.2799  huber 0.0221  dzl 0.2491  oov 0.00011  lr 1.00e-03  29s
epoch 144/250  loss 0.5378  ce 0.2722  huber 0.0213  dzl 0.2443  oov 0.00012  lr 1.00e-03  29s
epoch 145/250  loss 0.5353  ce 0.2700  huber 0.0212  dzl 0.2441  oov 0.00013  lr 1.00e-03  28s
epoch 146/250  loss 0.5343  ce 0.2727  huber 0.0213  dzl 0.2403  oov 0.00010  lr 1.00e-03  29s
epoch 147/250  loss 0.5437  ce 0.2766  huber 0.0215  dzl 0.2455  oov 0.00008  lr 1.00e-03  29s
epoch 148/250  loss 0.5373  ce 0.2702  huber 0.0218  dzl 0.2453  oov 0.00011  lr 1.00e-03  29s
epoch 149/250  loss 0.5407  ce 0.2725  huber 0.0213  dzl 0.2469  oov 0.00006  lr 1.00e-03  30s  | holdout pooled RMSE 7.4991 ft
epoch 150/250  loss 0.5420  ce 0.2755  huber 0.0214  dzl 0.2451  oov 0.00009  lr 1.00e-03  30s
epoch 151/250  loss 0.5394  ce 0.2719  huber 0.0212  dzl 0.2463  oov 0.00012  lr 1.00e-03  30s
epoch 152/250  loss 0.5443  ce 0.2762  huber 0.0214  dzl 0.2467  oov 0.00015  lr 1.00e-03  29s
